,Name,Prep Time,Cook Time,Total Time,Ingredient,Number of Ingredient,Method,Number of cooking step
1380,Watercress Soup Recipe,15,40,55,"['3 tablespoons butter', '2 cups white or yellow onion, chopped', 'Salt', '1 cup white wine, chicken stock, or vegetable stock (wine or veg stock for vegetarian version)', '1 pound potatoes, peeled and cut into chunks', '6 cups water', '6 cups fresh watercress, about 1/2 pound, chopped, stems included', '1/2 teaspoon black pepper', 'About 6 tablespoons sour cream, stirred in, or for garnish']",9,"['1 Cook the onions: In a large pot, heat the butter until frothy, then cook the onions over medium heat until soft and translucent, about 5 minutes. Salt the onions as they cook.', '2 Add potatoes, wine/stock, simmer: Add the wine or stock, potatoes and water and bring to a boil. Turn the heat down to low, cover the pot and simmer until the potatoes are soft, about 30 minutes.', '3 Add watercress: Add the watercress to the pot. Stir well and cook for 2 minutes.', ""4 Pur\\xc3\\xa9e the soup: Turn off the heat and pur\\xc3\\xa9e the soup with an immersion blender. If you don't have an immersion blender, pour the soup in batches into a blender and transfer the blended soup to a clean pot. Be careful when blending hot liquids to only fill the bowl a third of the way, and to hold down the blender's lid while you pur\\xc3\\xa9e the soup."", ""5 Season and garnish to serve: Add salt to taste, then add the black pepper. You can either stir the sour cream into the whole batch of soup, or serve a tablespoon in the center of each person's bowl.""]",5
1381,Irish Lamb Stew with Bacon Recipe,15,120,135,"['2 1/2 pounds lamb shoulder or shoulder blade chops, bone-in, trimmed of excess fat', '6 slices bacon, thickly cut', '2 pounds potatoes (Yukon gold preferred), peeled, quartered', '2 large onions, quartered', '2 large carrots, peeled and cut into 2-inch segments', '1 turnip, peeled and cut into 1-inch pieces', '2 heaping tablespoons pearl barley (omit for gluten-free version)', '1 tablespoon chopped fresh thyme or 1 teaspoon dried thyme', 'Salt and freshly ground black pepper', '1 quart of water or lamb stock, warmed']",10,"['1 Cook the bacon: Heat a large (6-quart), thick-bottomed Dutch oven on medium heat. Layer the bacon on the bottom of the pan and cook the slices gently, a few minutes on each side, until much of the fat has been rendered out, and the slices have browned lightly.', 'Place the cooked bacon strips on a paper-towel-lined plate to absorb the excess fat. Chop the bacon and set aside.', '2 Brown the lamb in bacon fat: Remove all but 2 tablespoons of bacon fat from the pan (do not pour the removed fat down the drain or it will clog the drain pipes). Increase the heat to medium high.', 'Working in batches as to not crowd the pan, brown the lamb pieces on all sides, taking care not to stir the lamb pieces so they can get sufficiently browned.', '3 Arrange the meat and vegetables in the pan in layers: Start first with a layer of lamb, then add a layer of potatoes, onions, turnips, carrots, and chopped bacon. Add another layer of lamb and then another of vegetables. Add the barley, thyme, black pepper and a teaspoon of salt.', '4 Add water or stock to the pot, and bring to a boil. Reduce the heat to a bare simmer. Let simmer, covered, but with the lid slightly ajar, for 1 1/2 to 2 hours, until the meat is fork tender and falling off the bones.', '5 Skim any excess fat from the stew. Use tongs to pick out and remove bones. Adjust seasonings, adding salt and pepper to taste.']",7
1382,Parsnip Soup with Leeks and Parsley Recipe,10,45,55,"['2 tablespoons butter', '3 leeks, white and pale green parts only, sliced lengthwise, cleaned, sliced crosswise into 1/4-inch slices', '2 tablespoons extra virgin olive oil', '1 1/2 to 2 pounds parsnips, peeled and chopped', '2 strips lemon zest, 1 x 2 inches each', '1-2 teaspoons salt', '4 cups chicken stock (use vegetable stock for vegetarian option)', '2 cups water', '2 cups finely chopped fresh parsley (reserve a little for garnish)', '1 tablespoon lemon juice', 'Pepper to taste']",11,"[""1 Cook leeks in butter: Heat butter in a 4 to 6 quart pot on medium heat. Add the chopped leeks, toss to coat with the butter. When the leeks are heated enough so they begin to sizzle in the pan, lower the heat to low and cover the pan. Cook until soft, but don't let the leeks brown."", '2 Add parsnips, oil, salt, stock, water, zest: Add the parsnips and olive oil, and toss to coat. Sprinkle on the salt. Add the stock and water. Add the strips of lemon zest.', 'Bring to a boil and reduce to a low simmer. Cover and cook until the parsnips are completely tender, at least 30 minutes.', '3 Remove and discard the lemon zest. Add the parsley. Pur\\xc3\\xa9e the soup until smooth, either by using an immersion blender or by working in batches with a stand-up blender. If using a standing blender, fill the bowl no more than halfway, hold the cover on the blender bowl, and start blending at the lowest speed. Return the pur\\xc3\\xa9ed soup to the pot.', '4 Stir in lemon juice and add more salt to taste, if needed.', 'Garnish with freshly ground black pepper, a little olive oil, and chopped parsley or chives.']",6
1383,Grilled Marinated Flank Steak Recipe,10,140,150,"['Marinade Ingredients', '1/3 cup extra virgin olive oil', '2 cloves garlic, minced', '2 tablespoon red wine vinegar', '1/3 cup soy sauce', '1/4 cup honey', '1/2 teaspoon freshly ground black pepper', 'Other ingredients', '2 pounds flank steak']",9,"['1 Marinate the steak: Combine the marinade ingredients in a large non-reactive bowl.', 'Place steak in the bowl and turn so that it is completely coated with the marinade. (You can also place the steak and marinade in a freezer bag and place it in a bowl.)', 'Chill and marinate for at least 2 hours and up to overnight.', '2 Prepare your grill for high, direct heat with one part of the grill for lower, indirect heat. The grill is hot enough when you hold your hand about an inch over the hot side and you can only hold it there for about a second.', ""3 Grill the steak: Remove the steak from the marinade and gently shake off the excess marinade from the steak (but make sure there is still a coating of it, you'll want the oil on it to help keep the steak from sticking to the grill)."", 'If you want, sprinkle generously on all sides with coarse salt and freshly ground pepper. The salt and pepper will help form a savory crust on the steak.', 'Place steak on the hot side of the grill. Grill for a minute or two on each side to get a good sear, then move the steak to the cooler side of the grill, cover and cook a few minutes more until done to your liking.', ""How do you know when the steak is done? One way to tell is to poke it with your fingertips. While the steak is still raw, test it with your fingers; it will be quite squishy. That's what a very rare steak feels like. Touch the tip of your nose and that's what a very well done steak feels like. Here's a visual guide, the finger test to check the doneness of steak."", 'Otherwise use a good meat thermometer (I recommend a thermapen.)  Pull the steak off the grill at 120 to 125\\xc2\\xb0F for rare, 130-140\\xc2\\xb0F for medium rare, and 145\\xc2\\xb0F for medium.', '4 Rest the steak: When the steak has cooked to your preferred level of doneness, remove from the grill and place on a cutting board. Cover with aluminum foil to hold in the heat while the steak rests for 10 to 15 minutes.', '5 Slice across the grain: Notice the direction of the muscle fibers of the steak; this is called the grain of the meat. Flank steak is a very lean cut that will be tough and chewy unless you cut it in a way that breaks up the muscle fibers.', 'So, cut the steak across the grain of the meat, at a steep diagonal, so that the slices are wide. I find it easiest to use a long serrated bread knife for this, but any long sharp knife will do.', 'If you want, you can take the excess marinade and bring it to a boil, simmer for several minutes, and serve with the flank steak. Great also with salsa or horseradish sauce.']",13
1384,Santa Maria Style Tri Tip Recipe,60,35,95,"['1 tri-tip roast, also known as triangle steak, a bottom sirloin cut (anywhere from 2 1/2 pounds to 4 pounds), look for one well-marbled with fat', 'Santa Maria Rub (enough for a 4 pound roast)', '1 Tbsp Kosher salt', '1 Tbsp finely ground black pepper', '1 Tbsp garlic powder', '1 Tbsp onion powder', '1 teaspoon cayenne', '1 Tbsp dried oregano', '1 teaspoon dry rosemary (or fresh, finely minced)', '1/2 teaspoon dry sage']",10,"['1 Mix rub and massage into roast: Mix the rub ingredients together in a bowl.', 'Place the roast in a roasting pan or a baking pan with edges (this will help keep the rub from getting all over the floor).', 'Sprinkle the rub on the meat on all sides, and massage the rub into the meat.', '2 Cover and let sit at room temp for an hour. Cover the roast with foil or plastic wrap and let it sit at room temp for an hour to take the chill off and allow the rub to work its magic on the roast.', '3 Prepare grill: Prepare your grill for hot direct heat on one side, and indirect heat on the other. (By the way, if you are working with a wood-fired grill, Santa Maria BBQ traditionally uses red oak wood.)', '4 Sear the roast on all sides, 3-4 minutes per side. Carefully watch the roast during this process as one side of the roast is typically quite fatty and as the fat heats up it can drip down and cause flare-ups. Keep moving the tri-tip away from the flame if flare-ups occur.', '5 Move roast to cool side of grill, fat side up: Once the tri-tip is seared on all sides, move it away from direct heat and place it fat-side up on the grill rack.', 'If you are using a gas grill with a top rack, I recommend placing the roast on that rack, with an aluminum tray on the bottom rack underneath to catch the fat drippings.', 'If you are grilling on charcoal or wood, you may want to turn the roast over every few minutes, for more even heating.', 'Try to maintain a grill temperature of 250\\xc2\\xb0F to 300\\xc2\\xb0F.', '6 Cover to finish cooking: Cover the grill and cook until the temperature of the interior of the tri-tip reaches 120\\xc2\\xb0F for a rare roast, 130\\xc2\\xb0F for medium-rare and 140\\xc2\\xb0F for medium.', 'At this point the meat will take anywhere from 20 to 40 minutes to cook, depending on how hot your grill is, how well done you want it, and the size of the cut.', 'Note that the interior temperature will continue to rise at least 5\\xc2\\xb0F after you take the roast off the heat.', '7 Tent roast with foil to let it rest: Once the roast reaches temperature, remove it from the grill and let it rest, loosely tented with foil, for 10-15 minutes.', 'Slice across the grain to serve.']",15
1385,Filet Mignon with Red Wine Sauce Recipe,10,20,30,"['2-4 filet mignon steaks, 1 to 2 inches thick*', 'Salt', 'Extra virgin olive oil or canola oil', '3-4 Tbsp unsalted butter, divided', '2 cups full bodied red wine (we used a favorite Zinfandel)', 'Black pepper to taste', '*If you have thicker steaks, you can butterfly them and cook on the stovetop as directed here, or you can sear them on the stovetop and finish them in a 350\\xc2\\xb0F oven for 10 minutes or more, until the center of the steaks are done to your liking.']",7,"[""1 Prepare the steaks: Your steaks should already be trimmed of the tough silver skin. If not, cut away any gristly bits. If your steak has the chain attached and you don't want to serve it, cut it away and save for another purpose."", '2 Let sit at room temperature: Allow the steaks to come to room temperature for at least 30 minutes and up to 90 minutes, depending on the thickness of the steaks. Just before getting ready to cook, pat the meat dry with paper towels, then coat with oil. Salt well.', '3 Sear the steaks on one side: Heat 2 tablespoons of oil in a cast iron pan on high heat for 1 minute. Swirl to coat the pan. Put the steaks in the hot pan and immediately turn the heat down to medium to medium high (depending on your stovetop, medium on a high BTU gas range is about medium high on most electric ranges). Sear untouched for at least 3 minutes, up to 6 minutes for a 2-inch thick steak.', '4 Cook the other side: Flip the steaks and cook for another 2-5 minutes, depending on how thick the steak is and how rare or well done you like your meat.', 'You can use the finger test to test the doneness of your steak. Or you can use a meat thermometer inserted into the thickest part of the steak (120\\xc2\\xb0F to 125\\xc2\\xb0F for rare, 130\\xc2\\xb0F to 135\\xc2\\xb0F for medium rare, 140\\xc2\\xb0F to 145\\xc2\\xb0F for medium).', 'Remove from the pan, loosely tent with foil and allow to rest while you make the sauce.', '5 Make the wine sauce with pan juices: Pour the wine into the pan and turn the heat to high. Boil this furiously until it is reduced by 3/4, about 10 minutes. Add any juices the steaks have released while resting.', 'Turn off the heat and wait until the wine has stopped bubbling. When it has, add the tablespoons of butter, one tablespoon at a time. Swirl each tablespoon into the sauce until it is completely incorporated before adding the next tablespoon of butter.', 'Add salt to taste and serve the sauce with the steak. Sprinkle freshly ground black pepper over the meat when you serve it.']",9
1386,Hanger Steak with Shallots Recipe,10,20,30,"['1 tablespoon canola oil or extra virgin olive oil', '4 hanger steaks, 6-8 ounces each (trimmed of main gristle running through center)', 'Salt and freshly ground pepper', '2 tablespoons unsalted butter', '6 medium shallots, thinly sliced', '2 tablespoons red wine vinegar', '1/2 cup red wine', '2 tablespoons finely chopped Italian parsley']",8,"['1 Sear the steaks on all sides: Heat oil in a large heavy-bottomed skillet or saut\\xc3\\xa9 pan over high heat. Pat the steaks dry with a paper towel and season them with salt and pepper.', ""When the pan is hot, place the steaks into the pan, and brown them on all sides. (Do not move the steak pieces until they have browned on one side, if you move them, they won\\'t brown easily.)"", '2 Cook until done to your preference, remove from pan: Continue to turn them until they are cooked to your preference, 6 minutes total for medium-rare (the steaks will continue to cook as they rest), a few minutes longer for more well done.', 'Transfer the steaks to a warm dish and cover them with foil and let them rest while you prepare the sauce.', '3 Make the sauce: Reduce the heat to medium, add a tablespoon of butter and the shallots. Season with salt and pepper and cook, stirring frequently until the shallots are softened, about 3 to 5 minutes.', 'Add the vinegar and cook until it boils away, then add the wine.', 'Bring the wine to a boil and let reduce to about half. Remove pan from heat, stir in the remaining tablespoon of butter and the chopped parsley.', '4 Slice steaks across the grain to serve: To serve, cut each steak across the grain into thin slices. Fan the slices out on a warm dinner plate. Drizzle the warm shallot sauce over the meat and serve immediately.']",8
1387,Grilled Flank Steak with Mushrooms Recipe,15,25,40,"['2 pounds flank steak', 'Salt', 'Extra virgin olive oil', 'Black pepper', ""2 pounds mixed mushrooms (if you can, make sure the assortment includes some shiitake mushrooms, they're especially flavorful), cleaned, roughly chopped"", '2 tablespoons butter', '1/2 cup minced shallots (or onions)', '1 cup red wine (or beef broth)', '1 tablespoon minced fresh rosemary']",9,"['1 Salt the steak: Salt the steak well and let it come to room temperature.', '2 Dry saut\\xc3\\xa9 the mushrooms: Heat a large saut\\xc3\\xa9 pan on medium high heat. Add the mushrooms to the pan, as is (no butter or oil). Stir the mushrooms occasionally, and shake the pan a bit. You should hear the mushrooms squeak when they move in the pan. (See our article and video on How to Dry Saut\\xc3\\xa9 Mushrooms).', 'Continue to cook until the mushrooms release their moisture. Add a large pinch of salt and stir to combine.', '3 Finish the mushrooms: Add the butter, rosemary and shallots. Stir to combine and saut\\xc3\\xa9 over medium-high heat for 2-3 minutes, stirring often.', 'Add the red wine (you can substitute beef broth) and boil until the sauce has reduced by half. Turn off the heat.', ""4 While the mushrooms cook, prepare the grill for high direct heat: If you are using a gas grill, turn it on, cover it, and let it heat up for at least 10 minutes. (You want the grill to be very hot, which can difficult to do on a gas grill if the grill hasn't pre-heated long enough.)"", 'If you are using a charcoal grill, get the coals very hot. The grill is hot enough when you put your hand about an inch over the grill and you can only hold it there for 1 second.', 'When the grill is hot, clean the grill grates with a wire scraper and then moisten a paper towel with olive oil. Using tongs, wipe down the grill grates with the oil-soaked towel.', '5 Sear the flank steak on one side: While the grill is heating up, massage olive oil into the steak. You want the steak well coated. When the grill is hot enough, place the steak on a hot part of the grill.', 'Sear for 4-6 minutes without moving. If you want a cross-hatch pattern of grill marks, about halfway through grilling, gently lift up a corner of the steak with tongs to check for grill marks, if you have them, pick up the steak and put it back down on the grill at a 90\\xc2\\xb0 angle (a quarter turn) from where it had been.', '6 Flip and grill steak on other side: Turn the steak over. Touch it to test for doneness (see the finger technique for checking for doneness). You might only need a couple minutes on this side, depending on how thick your flank steak is.', 'Flank steak is best rare or medium rare; it becomes tough if it gets too well done. Try to undercook the meat just a little, as it will continue to cook a bit while it is off the heat resting.', 'When the flank steak is almost done, take it off the heat and let it rest. Grind black pepper over it.', '7 Finish the mushrooms. Turn the burner on high and boil down the liquids almost to a glaze. Add any meat juices that have accumulated with the resting flank steak. Taste for salt and add any if needed.', '8 Slice the steak and serve with mushrooms: If you have a large steak, it may be easier to first cut it in half along the grain of the steak fibers. Then slice it thinly, on an angle, across the grain. Serve immediately with the mushrooms', 'P.S. If you happen to end up with leftover mushrooms you can throw them into some scrambled eggs for breakfast.']",16
1388,Easy Broiled Steak,5,1448,1453,"['2 tablespoons balsamic vinegar', '2 tablespoons soy sauce', '2 tablespoons extra virgin olive oil', '1 teaspoon kosher salt', '1 teaspoon ground black pepper', '1 teaspoon ground coriander', '1 teaspoon garlic powder', '1/2 teaspoon smoked paprika', '1 1/2 pounds (four 6-ounce) sirloin, ribeye, or strip steaks, about 1 inch thick']",9,"['1 Combine the marinade ingredients: In a small bowl or jar, stir together the vinegar, soy sauce, olive oil, salt, pepper, coriander, garlic powder, and smoked paprika.', '2 Marinate the steaks: Place the steaks in a gallon zip-top bag or a lidded container that just fits the steaks\\xe2\\x80\\x94you want them to get cozy with the marinade. Pour the marinade over the steaks, turning them to coat the steaks on all sides. Close the bag or container, pushing as much air out as possible. Refrigerate and marinate the steaks for at least 2 hours, or up to 24 hours.', '3 Heat your broiler: Preheat your oven broiler to 550\\xc2\\xbaF (or as high as your broiler goes) with the oven rack in its highest position (about 4 to 6 inches from the broiler element), and line a baking sheet with aluminum foil.', '4 Dry the steaks: Pat the steaks dry with paper towels and place them on the lined baking sheet. Patting the steaks dry is very important\\xe2\\x80\\x94you don\\xe2\\x80\\x99t want a bunch of extra marinade on the steaks and the sheet pan, as it will just burn under the broiler.', '5 Broil the steaks: Broil the steaks for 4 minutes on the first side, then use a pair of tongs to flip them and broil for 4 minutes more on the second side. Use a digital thermometer to test for doneness.', 'I aim for around 130\\xc2\\xbaF in the center for medium-rare to medium steaks\\xe2\\x80\\x94they\\xe2\\x80\\x99ll continue to cook a bit after you take them out of the oven. If the steaks are not yet done, flip and broil for an additional minute, and test again. (I usually end up broiling my steaks for 4 to 6 minutes per side, depending on their thickness.)', 'If the steaks are already charred after 4 minutes per side, but still undercooked in the middle, lower the oven rack a rung for the remainder of cooking, or even just turn the oven off and use the carryover heat to finish cooking the steaks for another minute or two.', '6 Rest and Serve: Transfer the steaks to a cutting board. Let them rest for about 5-7 minutes. Then plate and serve with your favorite side.']",8
1389,Garlic Herb Steak Bites Recipe,10,15,25,"['For the steak bites:', '1 1/4 pounds steak, trimmed of fat and cut into 1/2-inch cubes', '2 tablespoons olive oil', '1 teaspoon garlic powder', '1 teaspoon kosher salt', '1 teaspoon black pepper', '2 tablespoons unsalted butter', '2 tablespoons fresh minced parsley', 'For the DAD ADD: Steak Bite Grilled Cheese', '6 to 8 cooked steak bites, chopped', '2 slices Swiss cheese', '1 tablespoon mustard', '2 slices sandwich bread', 'Olive oil or butter for cooking']",14,"['THE DAD ADD: Steak Bite Grilled Cheese', 'Add a drizzle of olive oil to a small skillet over medium-low heat. Smear two pieces of bread with a little mustard. Add the bread, mustard side up, to the skillet to coat it with olive oil. Add a slice of cheese to the bread, top with the chopped steak bites, and top with a second slice of cheese. Add the second piece of bread to finish the sandwich.', 'Cook sandwich over medium-low heat until the cheese is melted and the bread is browned on both sides. Slice in half and serve while warm!']",3
1390,Kentucky Burgoo Recipe,15,190,205,"['3 tablespoons vegetable oil', '3-4 pounds pork shoulder or country ribs, cut into large pieces (3 to 4 inches wide)', '2-3 pounds chuck roast, stew meat, or other inexpensive cut of beef, cut into large pieces (3 to 4 inches wide)', '3-5 chicken legs or thighs (bone-in)', '1 green pepper, chopped', '1 large onion, chopped', '2 carrots, chopped', '2 celery ribs, chopped', '5 garlic cloves, chopped', '1 quart chicken stock or broth', '1 quart beef stock or broth', '1 28-ounce can of crushed tomatoes', '2 large potatoes (we used russets)', '1 bag of frozen corn (about a pound)', '1 bag of frozen lima beans (about 14 ounces)', 'Salt and pepper', '4-8 tablespoons Worcestershire sauce', 'Tabasco or other hot sauce on the side']",18,"['1 Brown the meats: Heat vegetable oil on medium-high heat in a large soup pot (at least 8 quart size). Salt the meats well on all sides. When the oil is shimmering hot, working in batches brown all the meats.', 'Do not crowd the pan or the meat will steam and not brown well. Do not move the meat while browning a side. Let the meat pieces get well seared.', 'Remove the browned meats to a bowl.', '2 Saut\\xc3\\xa9 onions, carrots, celery, green pepper: Add the onions, carrots, celery and green pepper to the pot and brown them. If necessary, add a little more oil to the pot.', 'After a few minutes of cooking, sprinkle salt over the vegetables.', '3 When the vegetables are well browned, add the garlic and cook for 30 seconds more, until fragrant.', '4 Add back the meats, and the chicken and beef broths and the tomatoes, stir to combine. Bring to a simmer, cover, reduce the heat and simmer gently for 2 hours.', '5 Remove the meat pieces, strip from bones, cut into smaller pieces, return to pot: Uncover and remove the meat pieces. Strip the chicken off the bone and discard skin if you want.', 'Break the larger pieces of meat into smaller, more manageable pieces. The reason you did not do this at first is because the meats stay juicier when they cook in larger pieces.', 'Return all the meat pieces to the pot and bring it up to a strong simmer.', ""6 Add potatoes: Peel and cut the potatoes into chunks about the same size as the meat pieces (if using new potatoes, you can skip the peeling, but russets you'll want to peel). Add them to the stew and cook them until they are done, about 45 minutes."", '7 When the potatoes are done, add the Worcestershire sauce, mix well and taste for salt. Add more Worcestershire sauce to taste if needed.', '8 Add the corn and lima beans. Mix well and cook for at least 10 minutes, or longer if you\\xe2\\x80\\x99d like. Here is the point where you decide whether you want a burgoo that\\xe2\\x80\\x99s been hammered into a thick mass or a stew with bright colors in it. It\\xe2\\x80\\x99s your call.', 'To serve, taste one more time for salt, and add either Worcestershire or salt if you want. Serve with crusty bread or cornbread and a bottle of hot sauce on the side.']",14
1391,Chicken and Dumplings Recipe,15,45,60,"['For the chicken and vegetables:', '3 to 3  1/2 pounds chicken thighs and breast parts, skin-on, bone-in, trimmed of excess fat', '2 teaspoons butter or extra virgin olive oil, or a combination of both', 'Salt', '1 quart chicken stock (homemade is best)', '2 to 3 celery stalks, trimmed and cut into 1/2-inch pieces (about 2 cups)', '3 medium carrots, peeled and cut into 1/2-inch pieces (about 2 cups)', '1 large onion, roughly chopped (about 2 cups)', '1/3 cup all-purpose flour', '1 teaspoon dried thyme', '1/4 cup dry sherry or vermouth (optional)', '1 tablespoon heavy cream (optional)', '3/4 cup frozen peas, thawed', '1/4 cup minced fresh parsley leaves', 'Ground black or white pepper', 'For the dumplings:', '2 cups (250 g) cake flour (can sub all-purpose flour, but use cake flour if you have it, your dumplings will be fluffier)', '2 teaspoons baking powder', '3/4 teaspoon salt', '2 tablespoons butter, melted', '3/4 cup milk', '1/4 cup minced fresh herb leaves such as parsley, chives, and tarragon (optional)']",22,"['1 Heat the chicken stock to a gentle simmer in a medium pot.', '2 Brown the chicken: In a large 8-quart or larger thick-bottomed pot, heat the butter or olive oil over medium-high heat. Pat dry the chicken pieces and sprinkle with salt.', 'Working in batches, brown the chicken pieces, placing the pieces skin-side down first; this will render out fat you will use to build the stew later.', '3 Poach the chicken in the stock: Once the chicken pieces are browned on all sides, remove them from the large pot, and turn off the heat. Remove and discard the skin from the chicken pieces and put the chicken pieces into the pot of simmering stock.', 'Poach the chicken in the stock until cooked through, about 20 minutes or so.', 'Remove the chicken pieces and set on a tray to cool for a few minutes. When the chicken pieces are cool to touch, pull the meat off the bones and cut into 2-inch chunks. Set aside.', '4 Cook the vegetables until softened: Return the heat on the large pot to medium-high. When the pot is hot, add the onion, celery, carrot and thyme and saut\\xc3\\xa9 until soft, but not browned, about 4 to 5 minutes.', '5 Add the flour and stir well. The flour will absorb the fat in the pot and will stick a little to the bottom. Reduce the heat to medium-low and stir the flour vegetable mixture constantly for 2 to 3 minutes. Do not let it burn.', '6 Add sherry, slowly add stock: Get a ladle ready and have the pot of simmering chicken stock nearby. Add the sherry to the flour vegetable mixture. It will sputter and seize up.', 'Add a ladle of hot chicken stock to and stir well. It will be goopy. Add another ladle, then another, stirring all the while, until the broth comes together.', 'Add the rest of the chicken stock and the reserved chicken meat. Increase the heat and bring to a simmer, then reduce the heat to maintain a gentle simmer while you make the dumplings.', '7 Make the dumpling batter: Whisk together flour, baking powder, and salt in a medium bowl. Add (optional) chopped fresh herbs. Add melted butter and milk to the dry ingredients.', 'Gently mix with a wooden spoon until mixture just comes together. (Note: do not over-mix or your dumplings will turn out too dense.)', '8 Add dumplings to the stew: Drop dumpling batter into the simmering stew by heaping teaspoonfuls, over the surface of the stew. (Note that the dumplings will easily double in size as they cook.) Cover and simmer until dumplings are cooked through, about 15 minutes.', 'Once you have covered the pan, do not uncover and peek while the dumplings are cooking! In order for the dumplings to be light and fluffy, they must steam, not boil. Uncovering the pan releases the steam.', 'If after 15 minutes the dumplings are still not cooked through (use a toothpick or skewer to test), then cover pan again and cook for another 5 to 10 minutes.', '9 Finish the stew: Gently stir in peas, parsley, and cream, if using. Add more salt to taste. Ladle portions of meat, sauce, vegetables, and dumplings into soup plates and serve. Note that the stew will continue to thicken the longer it sits.']",17
1392,Spicy Vegetarian Chili Recipe,20,70,90,"['1 1-pound (450g) eggplant, cut into 1-inch cubes', '5 tablespoons extra virgin olive oil', '2 yellow onions, chopped', '3 cloves garlic, minced', '2 medium zucchini, chopped', '2 large red bell peppers, cored, seeded, diced', '1 to 2 jalape\\xc3\\xb1o peppers, seeded, finely minced (Taste and check the heat of the jalape\\xc3\\xb1os. If very hot only use one, if mildly hot, use two. Wash hands with soap and water after handling. Do not rub eyes.)', '1 28-ounce (794g) can Italian plum tomatoes, coarsely chopped, including liquid (or 2 pounds fresh plum tomatoes, peeled and chopped)', '1 tablespoon ground cumin', '1-2 tablespoons chili powder', '2 tablespoons chopped fresh chopped oregano or 2 teaspoons dried', '1 teaspoon fennel seeds', '1 1/2 cup cooked white beans (1 15-ounce or 425g can), drained and rinsed', '1 1/2 cup cooked kidney beans (1 15-ounce or 425g can), drained and rinsed', 'Zest of one lemon', '3 Tbsp lemon juice', '1 teaspoon sugar (use raw, beet, or coconut sugar for vegan version)', '1/3 cup chopped fresh cilantro (can sub parsley if you have an aversion to cilantro)', 'Salt and freshly ground black pepper to taste']",19,"['1 Roast the cubed eggplant: Preheat oven to 350\\xc2\\xb0F (175\\xc2\\xb0C). Scatter eggplant cubes in a shallow roasting pan and slather with 2 tablespoons of olive oil. Cover the pan with aluminum foil and bake for about 30 minutes, stirring once during the cooking. Remove from the oven and set aside.', '2 Saut\\xc3\\xa9 the onions, garlic, peppers: While the eggplant is roasting, start on the rest of the vegetables. In a large (5-6 quart) thick-bottomed Dutch oven, heat 3 tablespoons of olive oil on medium heat. Add the onions and cook until translucent, about 4 minutes. Add the garlic and cook until fragrant, about a minute more.', 'Add the red bell peppers, zucchini, and jalape\\xc3\\xb1o chili peppers. Cook for about 5 more minutes, stirring occasionally.', '3 Add the tomatoes, spices, chili, and roasted eggplant: Add the tomatoes to the pot along with any liquid that may have been in the can (if using canned). Add oregano, cumin, and fennel seeds. Add chili powder to desired heat. Stir in the eggplant cubes (carefully as to not break them up), and simmer for 20 minutes over low heat.', '4 Add the beans, lemon, sugar, cilantro, salt, pepper: Add the white beans and kidney beans, lemon zest, lemon juice, sugar, and chopped cilantro. Add salt and freshly ground pepper to taste. Simmer for 5 minutes.', '5 Serve with garnishes: Serve with sour cream, grated cheddar cheese, and chopped green onions.']",6
